municipio,provincia,comunidad_autonoma,nombre,apellidos,cargo,email,tipo_email,fuente,origen,fecha_alta,hubspot_sync
Portbou,Girona,Cataluña,,,,portbou@portbou.cat,General,https://portbou.cat/,manual,2026-09-01,
Colera,Girona,Cataluña,,,,ajuntament@colera.cat,General,https://colera.cat/,manual,2026-09-01,
Llançà,Girona,Cataluña,,,,llanca@llanca.cat,General,https://www.llanca.cat/informacio-administrativa/,manual,2026-09-01,
El Port de la Selva,Girona,Cataluña,,,,ajuntament@elportdelaselva.cat,General,https://www.elportdelaselva.cat/,manual,2026-09-01,
Cadaqués,Girona,Cataluña,,,,informacio@cadaques.org,General,https://cadaques.cat/,manual,2026-09-01,
Roses,Girona,Cataluña,,,,informacio@roses.cat,General,https://www.roses.cat/contacte,manual,2026-09-01,
Castelló d'Empúries,Girona,Cataluña,,,,ajuntament@castello.cat,General,https://www.castello.cat/,manual,2026-09-01,
Sant Pere Pescador,Girona,Cataluña,,,,ajuntament@santpere.cat,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-sant-pere-pescador.aspx,manual,2026-09-01,
L'Escala,Girona,Cataluña,,,,web@lescala.cat,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-lescala.aspx,manual,2026-09-01,
Torroella de Montgrí,Girona,Cataluña,,,,alcaldia@torroella-estartit.cat,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-torroella-de-montgri.aspx,manual,2026-09-01,
Pals,Girona,Cataluña,,,,ajuntament@pals.cat,General,https://www.pals.cat/,manual,2026-09-01,
Begur,Girona,Cataluña,,,,begur@begur.cat,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-begur.aspx,manual,2026-09-01,
Palafrugell,Girona,Cataluña,,,,contractacio@palafrugell.cat,Contratación,https://www.palafrugell.cat/serveis-ciutadania/contractacio,manual,2026-09-01,
Palamós,Girona,Cataluña,,,,ajuntament@palamos.cat,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-palamos.aspx,manual,2026-09-01,
Calonge i Sant Antoni,Girona,Cataluña,,,,ajuntament@calonge.cat,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-calonge-i-sant-antoni.aspx,manual,2026-09-01,
Castell-Platja d'Aro,Girona,Cataluña,,,,compres@platjadaro.com,Contratación,https://ciutada.platjadaro.com/contractacio,manual,2026-09-01,
Sant Feliu de Guíxols,Girona,Cataluña,,,,oiac@guixols.cat,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-sant-feliu-de-guixols.aspx,manual,2026-09-01,
Tossa de Mar,Girona,Cataluña,,,,ajuntament@tossademar.org,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-tossa-de-mar.aspx,manual,2026-09-01,
Lloret de Mar,Girona,Cataluña,,,,ajuntament@lloret.cat,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-lloret-de-mar.aspx,manual,2026-09-01,
Blanes,Girona,Cataluña,,,,ajuntament@blanes.net,General,https://www.ajuntamentimpulsa.cat/ca/ajuntament-de-blanes.aspx,manual,2026-09-01,
Malgrat de Mar,Barcelona,Cataluña,,,,correu@ajmalgrat.cat,General,https://www.ajmalgrat.cat/adreces-i-telefons,manual,2026-09-01,
Santa Susanna,Barcelona,Cataluña,,,,,No encontrado,https://www.stasusanna.cat/ ; https://seu-e.cat/ca/web/santasusanna,manual,2026-09-01,
Pineda de Mar,Barcelona,Cataluña,,,,ajuntament@pinedademar.cat,General,https://www.pinedademar.cat/,manual,2026-09-01,
Calella,Barcelona,Cataluña,,,,calella@calella.cat,General,https://www.calella.cat/altres-continguts/contacte,manual,2026-09-01,
Sant Pol de Mar,Barcelona,Cataluña,,,,urbanisme@santpol.cat,Urbanismo,https://www.santpol.cat/ajuntament/contactar/oficines-municipals,manual,2026-09-02,
Canet de Mar,Barcelona,Cataluña,,,,silvafa@canetdemar.cat,Contratación,https://www.canetdemar.cat/correus,manual,2026-09-01,
Arenys de Mar,Barcelona,Cataluña,,,,massuettd@arenysdemar.cat,Urbanismo,https://arenysdemar.cat/,manual,2026-09-02,
Caldes d'Estrac,Barcelona,Cataluña,,,,,No encontrado,https://www.caldetes.cat/,manual,2026-09-01,
Sant Vicenç de Montalt,Barcelona,Cataluña,,,,oficines@svmontalt.cat,General,https://www.svmontalt.cat/contacte,manual,2026-09-01,
Premià de Mar,Barcelona,Cataluña,,,,oac@premiademar.cat,General,https://premiademar.cat/oac,manual,2026-09-01,
Vilassar de Mar,Barcelona,Cataluña,,,,,No encontrado,https://www.vilassardemar.cat/,manual,2026-09-01,
Mataró,Barcelona,Cataluña,,,,ajmataro@ajmataro.cat,General,https://www.mataro.cat/ca/avis-legal,manual,2026-09-01,
El Masnou,Barcelona,Cataluña,,,,oac@elmasnou.cat,General,https://www.elmasnou.cat/,manual,2026-09-01,
Montgat,Barcelona,Cataluña,,,,,No encontrado,https://www.montgat.cat/altres-continguts/contacte,manual,2026-09-01,
Sant Adrià de Besòs,Barcelona,Cataluña,,,,,No encontrado,https://www.sant-adria.net/ ; https://seu-e.cat/ca/web/santadriadebesos,manual,2026-09-01,
Badalona,Barcelona,Cataluña,,,,correu@badalona.cat,General,https://www.badalona.cat/,manual,2026-09-01,
Barcelona,Barcelona,Cataluña,,,,,No encontrado,https://www.barcelona.cat/,manual,2026-09-01,
El Prat de Llobregat,Barcelona,Cataluña,,,,oac360@elprat.cat,Urbanismo,https://www.elprat.cat/,manual,2026-09-02,
Viladecans,Barcelona,Cataluña,,,,,No encontrado,https://www.viladecans.cat/,manual,2026-09-01,
Gavà,Barcelona,Cataluña,,,,ajuntament@gava.cat,General,https://www.gavaciutat.cat/avis-legal,manual,2026-09-01,
Castelldefels,Barcelona,Cataluña,,,,oac@castelldefels.org,General,https://www.castelldefels.org/,manual,2026-09-01,
Sitges,Barcelona,Cataluña,,,,ajuntament@sitges.cat,General,https://www.sitges.cat/politica-de-privacitat,manual,2026-09-01,
Cubelles,Barcelona,Cataluña,,,,cubelles@cubelles.cat,General,https://www.cubelles.cat/altres-continguts/contacte,manual,2026-09-01,
Vilanova i la Geltrú,Barcelona,Cataluña,,,,urbanisme@vilanova.cat,Urbanismo,https://www.vilanova.cat/,manual,2026-09-02,
Cunit,Tarragona,Cataluña,,,,ajuntament@cunit.cat,General,https://www.dipta.cat/municipi/cunit,manual,2026-09-01,
Calafell,Tarragona,Cataluña,,,,alcaldia@calafell.cat,General,https://www.dipta.cat/municipi/calafell,manual,2026-09-01,
El Vendrell,Tarragona,Cataluña,,,,sac@elvendrell.net,General,https://www.dipta.cat/municipi/vendrell,manual,2026-09-01,
Roda de Berà,Tarragona,Cataluña,,,,alcaldia@rodadebera.cat,General,https://www.dipta.cat/municipi/roda-bera,manual,2026-09-01,
Torredembarra,Tarragona,Cataluña,,,,ajuntament@torredembarra.cat,General,https://www.dipta.cat/municipi/torredembarra,manual,2026-09-01,
Altafulla,Tarragona,Cataluña,,,,aj.altafulla@altanet.org,General,https://www.dipta.cat/municipi/altafulla,manual,2026-09-01,
Tarragona,Tarragona,Cataluña,,,,contractacio@tarragona.cat,Contratación,https://www.tarragona.cat/lajuntament/contractacio,manual,2026-09-01,
Vila-seca,Tarragona,Cataluña,,,,ajuntament@vila-seca.cat,General,https://vila-seca.cat/ca/,manual,2026-09-01,
Salou,Tarragona,Cataluña,,,,ajuntament@salou.cat,General,https://www.dipta.cat/municipi/salou,manual,2026-09-01,
Cambrils,Tarragona,Cataluña,,,,oac@cambrils.org,General,https://www.dipta.cat/municipi/cambrils,manual,2026-09-01,
Mont-roig del Camp,Tarragona,Cataluña,,,,ajuntament@mont-roig.cat,General,https://mont-roig.cat/contactar/,manual,2026-09-01,
Vandellòs i l'Hospitalet de l'Infant,Tarragona,Cataluña,,,,info@vandellos-hospitalet.cat,General,https://www.vandellos-hospitalet.cat/contacte,manual,2026-09-01,
L'Ametlla de Mar,Tarragona,Cataluña,,,,ajuntament@ametllamar.cat,General,https://www.dipta.cat/municipi/ametlla-mar,manual,2026-09-01,
El Perelló,Tarragona,Cataluña,,,,aj.perello@elperello.cat,General,https://www.dipta.cat/municipi/perello,manual,2026-09-01,
L'Ampolla,Tarragona,Cataluña,,,,ajuntament@lampolla.cat,General,https://www.lampolla.cat/carta-de-serveis/atencio-ciutadana,manual,2026-09-01,
Deltebre,Tarragona,Cataluña,,,,eac@deltebre.cat,Contratación,https://deltebre.cat/oficina-local-de-contractacio/,manual,2026-09-01,
